id,answer,question_id
1,chocolates,17
2,lima,18
3,liver,19
4,tibet,103
5,lion,151
6,bad,152
7,toblerone,153
8,rhapsody,154
9,neil armstrong,155
10,jupiter,156
11,kimono,157
12,diwali,158
13,buddhism,159
14,parthenon,160
15,saas,161
16,paris,162
17,kratos,163
18,2007,164
19,apples,165
20,shilling,166
21,taoism,167
22,1986,168
23,echolocation,169
24,stephen hawking,170
25,relativity,171
26,electron,172
27,gold,173
28,nitrogen,174
29,troposphere,175
30,ohm,176
31,electricity,177
32,mycology,178
33,reaction,179
34,sublimation,180
35,mesozoic,181
36,deuterium,182
37,clouds,183
38,lucy,184
39,fathom,185
40,electron,186
41,sahara,187
42,africa,188
43,australia,189
44,paris,190
45,canada,191
46,japan,192
47,rome,193
48,danube,194
49,nepal,195
50,nairobi,196
51,topography,197
52,geomorphology,198
53,sargasso,199
54,copenhagen,200
55,nigeria,201
56,java,202
57,montevideo,203
58,bermuda,204
59,13,205
60,renaissance,265
