id,question_text,question_type,category_id,difficulty
1,Electrons are larger than molecules.,1,2,1
2,Spiders have six legs.,1,1,1
3,Water is an example of a chemical element.,1,1,1
4,Mars has two kinds of motion.,1,1,2
5,Astronomers can look back in time.,1,2,2
6,"There are more than 2,000 kinds of mosquitoes.",1,1,3
7,The path of a light ray can be bent as it travels past a massive object.,1,2,3
8,The wavelength of red light is shorter than that of blue light.,1,2,3
9,Galaxies are classified by their shape.,1,1,2
10,A meteor would burn up more rapidly in the atmosphere of Mars than it would passing through the Earth’s atmosphere.,1,2,2
11,China only has one time zone,1,3,2
12,No countries share a land border with the United Kingdom,1,3,2
13,100% of the territory of Singapore is located on islands,1,3,2
14,Which company makes the Xperia model of smartphone?,2,1,2
15,Which city is home to the Brandenburg Gate?,2,3,2
16,What is the strongest muscle in the human body?,2,2,2
17,"In the movie ""Forrest Gump,"" Forrest's mother famously says, ""Life is like a box of _____.""",3,1,2
18,The capital of Peru is _____.,3,3,2
19,The _____ is the largest organ inside the human body.,3,2,2
20,"What is a word, phrase, number, or other sequence of characters that reads the same backward as forward?",4,1,3
21,Which planet has the most moons?,4,2,3
22,"Where is Angel Falls, the world’s largest waterfall, located?",4,3,3
23,"What is the fourth state of matter called, after the states of gas, liquid and solid?",2,2,2
24,'A' is the most common letter used in the English language,1,1,1
25,When the two numbers on opposite sides of a dice are added together it always equals 7,1,1,2
26,In the English language there is no word that rhymes with orange,1,1,2
27,English is the most spoken language in the world,1,1,1
28,The unicorn is the national animal of Scotland,1,1,3
29,A lion's roar can be heard up to eight kilometres away,1,1,2
30,Fish cannot blink.,1,1,2
31,Titanic was released in 1999.,1,1,2
32,Mila Kunis lied about her age at her That '70s Show audition,1,1,3
33,Queen Elizabeth II was the second-longest-reigning British monarch,1,1,2
34,"Before becoming queen, Queen Elizabeth II trained as a mechanic",1,1,2
35,Madonna's real name is Madonna.,1,1,3
36,50 Cent and Charlie Chaplin were alive at the same time,1,1,3
37,Hillary Clinton and Celine Dion are related,1,1,3
38,Penguins can only be found in Antarctica.,1,1,1
39,Honey never spoils.,1,1,1
40,Brown eggs are more nutritious than white eggs.,1,1,1
41,Drinking water before meals can help reduce your appetite.,1,1,1
42,Africa is the largest continent in the world.,1,3,1
43,Mount Everest is the tallest mountain in the world.,1,3,1
44,The Great Wall of China is visible from space with the naked eye.,1,3,2
45,Australia is both a country and a continent.,1,3,1
46,The Sahara Desert is the largest desert in the world.,1,3,3
47,Africa is the only continent that is located in all four hemispheres.,1,3,2
48,Russia is the largest country by land area in the world.,1,3,1
49,The Olympic Games originated in Greece.,1,1,1
50,Zero is an even number.,1,2,1
51,The sum of any two prime numbers is always even.,1,2,2
52,"The Fibonacci sequence starts with the numbers 0 and 1, and each subsequent number is the sum of the previous two.",1,2,2
53,Multiplying any number by zero will result in zero.,1,2,1
54,Lightning never strikes the same place twice.,1,2,2
55,Humans and giraffes have the same number of neck vertebrae.,1,2,3
56,Earth is closer to the sun than Venus.,1,2,1
57,A day on Venus is longer than a year on Venus.,1,2,3
58,Frogs drink water through their skin.,1,2,2
59,Water is composed of two hydrogen atoms and one oxygen atom.,1,2,1
60,Light travels faster than sound.,1,2,1
61,Earth is closer to the sun in summer than in winter.,1,2,2
62,All metals are magnetic.,1,2,3
63,Humans have more bones as adults than they do as babies.,1,2,3
64,The capital of Estonia is Tallinn.,1,3,2
65,The capital of Lithuania is Vilnius.,1,3,2
66,The atomic number for lithium is 17.,1,2,2
67,There are five different blood groups.,1,2,1
68,Your 'radius' bone is in your leg.,1,2,3
69,The small intestine is about three-and-a-half times the length of your body.,1,2,2
70,Thomas Edison discovered gravity.,1,2,1
71,The United States has the longest coastline in the world.,1,3,2
72,India is the most populated country in the world.,1,3,1
73,A cara cara navel is a type of orange.,1,1,3
74,Spaghetto is the singular word for a piece of spaghetti.,1,1,2
75,Ketchup was once used to cure diseases like diarrhoea and colds.,1,1,3
76,The five rings on the Olympic flag are interlaced.,1,1,1
77,The human body is comprised of over 60% water.,1,2,1
78,The Pyramids of Giza are located in Iraq.,1,3,1
79,All planets in our solar system orbit the Sun in a circular path.,1,2,2
80,Water expands when it freezes.,1,2,1
81,Mercury is the hottest planet in the solar system.,1,2,2
82,Photosynthesis occurs in animals as well as plants.,1,2,1
83,The Earth’s atmosphere is mostly oxygen.,1,2,1
84,The smallest bone in the human body is located in the ear.,1,2,3
